identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
441_(Ephesians 5:25)-c1	444_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
441_(Ephesians 5:25)-c2	444_(Ephesians 5:25)-c2	AndreaMariaC	2.1562398014446478		Husbands_love_your_wives_as_Christ_loved_the_church	
446_(Ephesians 5:25)-c1	444_(Ephesians 5:25)-c2	AndreaMariaC	2.1562398014446478		Husbands_love_your_wives_as_Christ_loved_the_church	
442_(Ephesians 5:25)-c1	444_(Ephesians 5:25)-c2	AndreaMariaC	-0.609858905356672		Husbands_love_your_wives_as_Christ_loved_the_church	
447_(Ephesians 5:25)-c2	444_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
443_(Ephesians 5:25)-c2	444_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
440_(Ephesians 5:25)-c2	444_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
441_(Ephesians 5:25)-c1	446_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
441_(Ephesians 5:25)-c2	446_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
450_(Ephesians 5:25)-c2	446_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
443_(Ephesians 5:25)-c1	446_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
442_(Ephesians 5:25)-c2	446_(Ephesians 5:25)-c2	AndreaMariaC	-0.609858905356672		Husbands_love_your_wives_as_Christ_loved_the_church	
445_(Ephesians 5:25)-c1	446_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
443_(Ephesians 5:25)-c2	446_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
438_(Ephesians 5:25)-c1	446_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
440_(Ephesians 5:25)-c2	446_(Ephesians 5:25)-c2	AndreaMariaC	0.7731904480439878		Husbands_love_your_wives_as_Christ_loved_the_church	
