dataID	context	indices_target_token	indices_target_sentence	lemma
923_(2 Corinthians 5:7)	Stop looking for signs. War, pandemic and inflation are not our lead. For we walk by faith, not by sight. Wait for a voice. That's the sound of a trumpet. How do you know Jesus is coming soon? Faith, not sight. Be in the faith	70:104	0:226	For we walk by faith, not by sight
922_(2 Corinthians 5:7)	"For we walk by faith, not by sight." Life is a journey & sometimes, it's like walking in fog. We can't see far ahead, and the paths we're to take aren't always clear. But guess what? This is where the beauty of our faith in God comes in.	1:35	0:238	For we walk by faith, not by sight
915_(2 Corinthians 5:7)	No day is ever "just another day." Each is a step on God's planned journey, full of opportunities. Share your journey, inspire others. Remember, "for we walk by faith, not by sight" Your path is your testimony - let it glow! And for those facing a tough day: You can do this. God's got you! 😍📍 ✨	146:180	0:295	For we walk by faith, not by sight
908_(2 Corinthians 5:7)	This will forever trap the limitless Self within the limited reflection of the mirror of external reality. "For we walk by faith, not by sight." To walk by Faith, you cannot walk by sight. To Trust is to go beyond the mind, in order to be led by Faith.	108:142	0:252	For we walk by faith, not by sight
920_(2 Corinthians 5:7)	FOR WE WALK BY FAITH, NOT BY SIGHT. For those who do it is written, YOU WILL KEEP HIM IN PERFECT PEACE, WHOSE MIND IS STAYED ON YOU, BECAUSE HE TRUSTS IN YOU. 	0:34	0:159	For we walk by faith, not by sight
910_(2 Corinthians 5:7)	"For we walk by faith, not by sight" Despite all the trouble in the world & the pushing of the anti-God agenda, I stay strong in my faith. I will stay courageous to speak for God & won't back down. 	1:35	0:198	For we walk by faith, not by sight
905_(2 Corinthians 5:7)	For we walk by faith, not by sight. I can't believe people still follow this Q nonsense after all these years. Your little false religion is in direct opposition to God and Christianity.	0:34	0:186	For we walk by faith, not by sight
901_(2 Corinthians 5:7)	I AM A FAITH WALKER FOR GOD: The best move that I have ever made was when I walked away from fear and stepped out on FAITH! IT IS WRITTEN: "For we walk by FAITH, not by sight."	140:174	0:176	For we walk by faith, not by sight
921_(2 Corinthians 5:7)	"For we walk by faith, not by sight." Keep the faith and trust that God is guiding your path, even when you can't see the way forward	1:35	0:133	For we walk by faith, not by sight
916_(2 Corinthians 5:7)	For we walk by faith, not by sight. Grateful for the faith path I'm on. Excited to keep improving.	0:34	0:98	For we walk by faith, not by sight
914_(2 Corinthians 5:7)	For we walk by faith, not by sight. we depend on the visible power of the unseen God.	0:34	0:85	For we walk by faith, not by sight
906_(2 Corinthians 5:7)	For we walk by faith, not by sight! The CCP will never understand the power of faith and prayer and it will ultimately be their downfall!	0:34	0:137	For we walk by faith, not by sight
917_(2 Corinthians 5:7)	Stepping into a new month and quarter calls for some faith refreshers! Tip 1: Don't let what you see shake you! As 2 Corinthians 5:7 says," for we walk by faith, not by sight." God's vision may not align with our current reality, but He sees the finished product.	140:174	0:263	For we walk by faith, not by sight
909_(2 Corinthians 5:7)	You may feel unqualified, uneducated & unworthy, yet those are excellent qualifications for God to do His mighty work in & thru you. Amen! 😍🙌 For we walk by faith, not by sight. What a blessing - to turn from our limitations to the One Who has none!	142:176	0:249	For we walk by faith, not by sight
927_(2 Corinthians 5:7)	"For we walk by faith, not by sight."Whatever you are facing today, look to the Word of God, not to your circumstances because breakthrough is on its way!	1:35	0:154	For we walk by faith, not by sight
913_(2 Corinthians 5:7)	For we walk by faith, not by sight. The Lord will always walk with you through anything, no matter how big or scary it is. He will never leave you. ❤️ 😍🙏🌌	0:34	0:154	For we walk by faith, not by sight
903_(2 Corinthians 5:7)	For we walk by faith, not by sight. But also, there's plenty of evidence of the events that happened in the Bible, as well as its prophecies being fulfilled. All testaments to its divine inspiration	0:34	0:198	For we walk by faith, not by sight
904_(2 Corinthians 5:7)	For we walk by faith, not by sight. We relate with God through faith because God is a Spirit and as a result we can not see him. We have to believe in his existence.	0:34	0:165	For we walk by faith, not by sight
926_(2 Corinthians 5:7)	If you're used to allowing your mind to go everywhere it pleases, meditating on God's Word will require making a new habit. Don't become discouraged if you discover you have good intentions but many failures. The Bible says "For we walk by faith, not by sight." 	225:259	0:262	For we walk by faith, not by sight
